Name,Score
azad,5700
ddad,1900
xamdads,5000,
deneme,1830
deneme,1830
deneme,1830
deneme,1660
deneme,8210
deneme,8250
deneme,8290
deneme,8300
deneme,1450
Azad,1720
azad,3550
azad,3570
azad,3360
azad,3600
azad,3390
azad,3520
azad,3370
azad,3490
azad,3480
azad,40
azad,3270
azad,3480
azad,2190
azad,3540
azad,3350
azad,3630
azad,2970
azad,3580
azad,3280
azad,2900
azad,1710
azad,3390
azad,3430
azad,3610
azad,10
azad,3480
azad,10
azad,2770
azad,0
azad,10
azad,3530
azad,3400
azad,3610
azad,2810
azad,3610
azad,3390
azad,3560
azad,3590
azad,3650
azad,5318000
azad,5250000
azad,0
azad,5400000
azad,12000
azad,0
azad,35000
azad,22000
azad,14000
azad,115000
demirhan,0
demirhan,79000
demirhan,350000
